Pcode,Locality,Town $
2284,Argenton,34341
2449,Argents Hill,34341
4702,Argoon,34341
2707,Argoon,34341
2350,Argyle,34341
6239,Argyle,34341
3523,Argyle,34341
4721,Argyll,34341
2665,Ariah Park,34341
5701,Arkaroola Village,34341
2795,Arkell,34341
2795,Arkstone,34341
6992,Armadale,34341
3143,Armadale,34341
6112,Armadale,34341
3143,Armadale North,39362
5453,Armagh,39362
2828,Armatree,39362
2350,Armidale,39362
3377,Armstrong,36609
4737,Armstrong Beach,36609
4520,Armstrong Creek,36609
3217,Armstrong Creek,36609
2205,Arncliffe,36609
2148,Arndell Park,36609
5603,Arno Bay,36609
852,Arnold,36609
3551,Arnold,36609
3551,Arnold West,36609
4551,Aroona,36609
2456,Arrawarra,36609
2456,Arrawarra Headland,36609
4880,Arriga,36609
6519,Arrino,36609
6525,Arrowsmith,36609
6519,Arrowsmith East,36609
1570,Artarmon,36609
2064,Artarmon,36609
7330,Arthur River,36609
6315,Arthur River,36609
3099,Arthurs Creek,36609
7030,Arthurs Lake,36609
3936,Arthurs Seat,36609
5572,Arthurton,36609
2820,Arthurville,36609
870,Arumbera,36609
2715,Arumpo,36609
4214,Arundel,36609
4214,Arundel Bc,36609
4214,Arundel Dc,36609
4007,Ascot,85387
3364,Ascot,85387
3551,Ascot,85387
6104,Ascot,85387
5043,Ascot Park,85387
3032,Ascot Vale,85387
5157,Ashbourne,85387
3442,Ashbourne,85387
3147,Ashburton,85387
2193,Ashbury,61214
2463,Ashby,61214
6065,Ashby,61214
2463,Ashby Heights,61214
2463,Ashby Island,61214
2168,Ashcroft,61214
6111,Ashendon,61214
1800,Ashfield,61214
6054,Ashfield,61214
4670,Ashfield,61214
2131,Ashfield,61214
2361,Ashford,44186
5035,Ashford,44186
4060,Ashgrove,54814
4060,Ashgrove East,54814
2400,Ashley,54814
2650,Ashmont,54814
4214,Ashmore,54814
4214,Ashmore City,54814
5137,Ashton,41547
2323,Ashtonfield,41547
5259,Ashville,41547
4340,Ashwell,41547
3147,Ashwood,41547
3195,Aspendale,41547
3195,Aspendale Gardens,41547
4034,Aspley,40153
2077,Asquith,40153
5076,Athelstone,40153
4883,Atherton,40153
3818,Athlone,40153
4350,Athol,40153
5012,Athol Park,40153
2361,Atholwood,40153
872,Atitjere,40153
4311,Atkinsons Dam,40153
6156,Attadale,40153
2345,Attunga,40153
3049,Attwood,40153
6164,Atwell,40153
4401,Aubigny,40153
6164,Aubin Grove,40153
3393,Aubrey,40153
3123,Auburn,40153
5451,Auburn,40153
1835,Auburn,40153
2144,Auburn,40153
3122,Auburn South,33130
2360,Auburn Vale,33130
4066,Auchenflower,33130
3570,Auchmore,33130
4477,Augathella,33130
6290,Augusta,33130
4300,Augustine Heights,34894
5072,Auldana,34894
4892,Aurukun,34894
2515,Austinmer,29772
7011,Austins Ferry,29772
4213,Austinville,29772
2179,Austral,29772
2440,Austral Eden,29772
4215,Australia Fair,29772
5374,Australia Plains,29772
1209,Australia Square,29772
1210,Australia Square,29772
1211,Australia Square,29772
1212,Australia Square,29772
1213,Australia Square,29772
1214,Australia Square,29772
1215,Australia Square,29772
2890,Australian Defence Forces,46706
200,Australian National University,46706
6233,Australind,46706
3212,Avalon,46706
2107,Avalon Beach,46706
6069,Aveley,46706
3664,Avenel,46706
4670,Avenell Heights,46706
5273,Avenue Range,46706
2850,Avisford,46706
3467,Avoca,46706
7213,Avoca,46706
2577,Avoca,46706
4670,Avoca,46706
2251,Avoca Beach,46706
5253,Avoca Dell,46706
4306,Avoca Vale,46706
5501,Avon,37568
2574,Avon,37568
3477,Avon Plains,37568
6084,Avon Valley National Park,37568
4670,Avondale,37568
2530,Avondale,37568
3034,Avondale Heights,37568
3559,Avonmore,37568
2628,Avonside,37568
3782,Avonsleigh,37568
2283,Awaba,37568
3551,Axe Creek,37568
3551,Axedale,37568
2575,Aylmerton,37568
4807,Ayr,37568
3268,Ayrford,37568
4895,Ayton,37568
2390,Baan Baa,37568
6412,Baandee,37568
6428,Babakin,37568
6701,Babbage Island,37568
4861,Babinda,37568
2825,Babinda,37568
2470,Babyl Creek,37568
3340,Bacchus Marsh,37568
2622,Back Creek,37568
2422,Back Creek,37568
2484,Back Creek,37568
2390,Back Creek,37568
2372,Back Creek,37568
2671,Back Creek,37568
2535,Back Forest,37568
4361,Back Plains,37568
5211,Back Valley,37568
2470,Backmede,37568
2365,Backwater,37568
5601,Backy Point,37568
3670,Baddaginnie,37568
7120,Baden,37568
6317,Badgebup,37568
3777,Badger Creek,37568
7270,Badger Head,37568
6475,Badgerin Rock,37568
2555,Badgerys Creek,37568
6302,Badgin,37568
6521,Badgingarra,37568
2630,Badja,37568
6383,Badjaling,37568
4875,Badu Island,37568
3579,Bael Bael,37568
2333,Baerami,37568
2333,Baerami Creek,37568
4674,Baffle Creek,37568
4454,Baffle West,37568
7030,Bagdad,37568
7030,Bagdad North,37568
2446,Bagnoo,37568
2446,Bago,37568
5373,Bagot Well,37568
2477,Bagotville,37568
3551,Bagshot,37568
3551,Bagshot North,37568
3312,Bahgallah,37568
4207,Bahrs Scrub,37568
3608,Bailieston,37568
6082,Bailup,37568
852,Baines,37568
5671,Baird Bay,37568
3875,Bairnsdale,37568
4699,Bajool,37568
5354,Bakara,37568
5354,Bakara Well,37568
7307,Bakers Beach,37568
4470,Bakers Bend,37568
2422,Bakers Creek,37568
4740,Bakers Creek,37568
2447,Bakers Creek,37568
2359,Bakers Creek,37568
6562,Bakers Hill,37568
2820,Bakers Swamp,37568
3354,Bakery Hill,37568
3350,Bakery Hill,37568
832,Bakewell,44839
4413,Baking Board,44839
2575,Balaclava,44839
3183,Balaclava,44839
5461,Balaklava,44839
2358,Balala,44839
6258,Balbarrup,44839
4740,Balberra,44839
6914,Balcatta,44839
6021,Balcatta,44839
2264,Balcolyn,44839
4702,Balcomba,44839
2365,Bald Blair,44839
4036,Bald Hills,38021
3364,Bald Hills,38021
2549,Bald Hills,38021
5203,Bald Hills,38021
4552,Bald Knob,38021
2370,Bald Nob,38021
2795,Bald Ridge,38021
2365,Baldersleigh,38021
5417,Baldina,38021
6171,Baldivis,38021
2867,Baldry,38021
4820,Balfes Creek,38021
2403,Balfours Peak,38021
6061,Balga,38021
4816,Balgal Beach,38021
5573,Balgowan,38021
4401,Balgowan,38021
2093,Balgowlah,38021
2093,Balgowlah Heights,38021
2519,Balgownie,38021
5242,Balhannah,38021
2324,Balickera,38021
6253,Balingup,38021
3249,Balintore,38021
6383,Balkuling,38021
4741,Ball Bay,38021
6714,Balla Balla,38021
6302,Balladong,38021
6443,Balladonia,38021
2831,Balladoran,38021
6066,Ballajura,38021
2622,Ballalaba,38021
3342,Ballan,38021
4382,Ballandean,38021
3279,Ballangeich,38021
3483,Ballapur,38021
3353,Ballarat,38021
3350,Ballarat,38021
3350,Ballarat Central,34478
3350,Ballarat East,35713
3354,Ballarat Mc,35713
3350,Ballarat North,35713
3352,Ballarat Roadside Delivery,35713
3350,Ballarat West,35713
4352,Ballard,35713
4455,Ballaroo,35713
5221,Ballast Head,35713
6315,Ballaying,35713
2646,Balldale,35713
3561,Ballendella,35713
2441,Ballengarra,35713
3340,Balliang,35713
3340,Balliang East,35713
6606,Ballidu,35713
2830,Ballimore,35713
2478,Ballina,35713
4610,Ballogie,34976
6304,Bally Bally,34976
2795,Ballyroe,34976
3375,Ballyrogan,34976
2041,Balmain,34976
2041,Balmain East,34976
3666,Balmattum,34976
3407,Balmoral,59798
2283,Balmoral,59798
2571,Balmoral,59798
4171,Balmoral,59798
4552,Balmoral Ridge,59798
4740,Balnagowan,59798
3926,Balnarring,59798
3926,Balnarring Beach,59798
3971,Balook,30276
2715,Balranald,30276
3103,Balwyn,30266
3103,Balwyn East,30266
3104,Balwyn North,30266
4876,Bamaga,30266
2540,Bamarang,30266
3561,Bamawm,30266
3564,Bamawm Extension,30266
4850,Bambaroo,30266
4873,Bamboo,30266
4860,Bamboo Creek,30266
3241,Bambra,30266
6503,Bambun,30266
3333,Bamganie,30266
4625,Ban Ban,30266
4625,Ban Ban Springs,30266
4702,Banana,30266
7265,Banca,42063
4630,Bancroft,42063
2446,Banda Banda,42063
3691,Bandiana,42063
3694,Bandiana Milpo,42063
2420,Bandon Grove,42063
6450,Bandy Creek,42063
6440,Bandya,42063
2729,Bangadang,42063
2541,Bangalee,42063
4703,Bangalee,42063
2479,Bangalow,42063
3393,Bangerang,42063
5268,Bangham,42063
2404,Bangheet,42063
3175,Bangholme,42063
2582,Bango,42063
2234,Bangor,42063
7267,Bangor,42063
5481,Bangor,42063
6164,Banjup,42063
2906,Banks,46350
4306,Banks Creek,46350
4570,Banks Pocket,46350
2216,Banksia,46350
4507,Banksia Beach,46350
6031,Banksia Grove,46350
5091,Banksia Park,46350
3875,Banksia Peninsula,46350
6213,Banksiadale,46350
2019,Banksmeadow,46350
1885,Bankstown,46350
1888,Bankstown,46350
2200,Bankstown,46350
2200,Bankstown Aerodrome,40521
2200,Bankstown North,40521
2200,Bankstown Square,40521
2580,Bannaby,40521
3549,Bannerton,40521
6390,Bannister,40521
2580,Bannister,40521
3331,Bannockburn,40521
4207,Bannockburn,40521
2347,Banoon,40521
2486,Banora Point,40521
2460,Banyabba,40521
3485,Banyan,40521
3388,Banyena,40521
4014,Banyo,39445
3084,Banyule,39445
4352,Bapaume,40350
2300,Bar Beach,40350
2083,Bar Point,40350
2850,Bara,40350
5460,Barabba,40350
2396,Baradine,40350
4702,Baralaba,40350
4601,Barambah,40350
3691,Baranduda,40350
2000,Barangaroo,40350
6479,Barbalin,40350
6510,Barberton,40350
4725,Barcaldine,40350
4725,Barcaldine Downs,34995
2460,Barcoongere,36050
2234,Barden Ridge,36050
2565,Bardia,36050
4065,Bardon,62142
2207,Bardwell Park,62142
2207,Bardwell Valley,62142
4714,Baree,62142
3220,Bareena,62142
2665,Barellan,62142
4306,Barellan Point,62142
3444,Barfold,62142
4670,Bargara,62142
2574,Bargo,62142
2732,Barham,62142
2850,Barigan,62142
3463,Baringhup,62142
3463,Baringhup West,62142
5453,Barinia,62142
3723,Barjarg,62142
4615,Barker Creek Flat,62142
3451,Barkers Creek,62142
2474,Barkers Vale,62142
4825,Barkly,35899
3384,Barkly,35899
3364,Barkstead,36319
4605,Barlil,36319
4703,Barlows Hill,36319
4625,Barlyne,36319
3639,Barmah,36319
4703,Barmaryee,36319
2668,Barmedman,36319
5345,Barmera,36319
4703,Barmoya,36319
5641,Barna,36319
3557,Barnadown,36319
4702,Barnard,36319
3688,Barnawartha,36319
3691,Barnawartha North,36319
5434,Barndioota,36319
7150,Barnes Bay,36319
4680,Barney Point,36319
4287,Barney View,36319
2852,Barneys Reef,36319
2278,Barnsley,36319
3871,Baromi,36319
3249,Barongarook,36319
3249,Barongarook West,36319
3644,Barooga,36319
5495,Baroota,36319
5351,Barossa Goldfields,39178
2347,Barraba,39178
3221,Barrabool,39178
6275,Barrabup,39178
2528,Barrack Heights,39178
2528,Barrack Point,39178
2441,Barraganyatti,39178
2546,Barragga Bay,39178
6209,Barragup,39178
3525,Barrakee,39178
4416,Barramornie,39178
3249,Barramunga,39178
3537,Barraport,39178
3537,Barraport West,39178
2710,Barratta,39178
4809,Barratta,39178
2577,Barren Grounds,39178
2577,Barrengarry,39178
7054,Barretta,39178
2460,Barretts Creek,39178
4872,Barrine,39178
2540,Barringella,39178
4816,Barringha,39178
2422,Barrington,39178
7306,Barrington,39178
2422,Barrington Tops,39178
4490,Barringun,39178
4878,Barron,39178
4870,Barron Gorge,39178
872,Barrow Creek,39178
6712,Barrow Island,39178
2799,Barry,39178
2340,Barry,39178
3458,Barrys Reef,39178
4861,Bartle Frere,39178
221,Barton,72678
2600,Barton,72678
3329,Barunah Park,72678
3329,Barunah Plains,72678
852,Barunga,72678
5520,Barunga Gap,72678
2594,Barwang,31152
3737,Barwidgee,31152
4872,Barwidgi,31152
3722,Barwite,31152
2396,Barwon,37624
3243,Barwon Downs,37624
3227,Barwon Heads,37624
2460,Baryulgil,37624
4820,Basalt,37624
3460,Basalt,37624
4871,Basilisk,37624
4305,Basin Pocket,37624
2540,Basin View,37624
6056,Baskerville,37624
5138,Basket Range,37624
3991,Bass,37624
2197,Bass Hill,30975
6054,Bassendean,30975
6934,Bassendean,30975
2365,Bassendean,30975
6942,Bassendean Dc,40701
2439,Batar Creek,40701
845,Batchelor,40701
2261,Bateau Bay,40701
2536,Batehaven,40701
6150,Bateman,40701
2536,Batemans Bay,40701
3213,Batesford,40701
2795,Bathampton,40701
3730,Bathumi,40701
2795,Bathurst,38372
822,Bathurst Island,38372
2795,Bathurst West,38130
2730,Batlow,27471
3058,Batman,27471
4551,Battery Hill,27471
7004,Battery Point,27471
6284,Baudin,27471
5222,Baudin Beach,27471
4718,Bauhinia,27471
1755,Baulkham Hills,27471
2153,Baulkham Hills,27471
4650,Bauple,48824
4650,Bauple Forest,48824
2580,Baw Baw,48824
3833,Baw Baw,48824
3833,Baw Baw Village,34996
2539,Bawley Point,34996
3911,Baxter,34996
2422,Baxters Ridge,34996
5223,Bay Of Shoals,34996
2261,Bay Village,34996
3375,Bayindeen,34996
3981,Bayles,34996
6714,Baynton,34996
3444,Baynton,34996
3444,Baynton East,34996
6330,Bayonet Head,34996
4478,Bayrick,34996
6053,Bayswater,59421
3153,Bayswater,59421
6933,Bayswater,59421
3153,Bayswater North,42238
820,Bayview,42238
2104,Bayview,42238
4868,Bayview Heights,42238
4818,Beach Holm,53927
6530,Beachlands,53927
4510,Beachmere,53927
5280,Beachport,53927
6472,Beacon,53927
2100,Beacon Hill,53927
2015,Beaconsfield,53927
7270,Beaconsfield,53927
4740,Beaconsfield,53927
3807,Beaconsfield,53927
6162,Beaconsfield,53927
3808,Beaconsfield Upper,53927
6440,Beadell,53927
3475,Bealiba,53927
2469,Bean Creek,53927
2827,Bearbong,53927
2620,Beard,53927
3641,Bearii,53927
3517,Bears Lagoon,53927
4886,Beatrice,53927
5320,Beatty,53927
3579,Beauchamp,53927
4285,Beaudesert,53927
4724,Beaufort,53927
3373,Beaufort,53927
5550,Beaufort,53927
6394,Beaufort River,53927
3193,Beaumaris,53927
7215,Beaumaris,53927
2577,Beaumont,53927
6450,Beaumont,53927
5066,Beaumont,53927
2155,Beaumont Hills,53927
5320,Beaumonts,53927
7270,Beauty Point,53927
4650,Beaver Rock,53927
3477,Beazleys Bridge,53927
6107,Beckenham,53927
2665,Beckom,53927
2340,Bective,53927
2665,Bectric,53927
6052,Bedford,53927
5042,Bedford Park,53927
3135,Bedford Road,53927
6112,Bedfordale,53927
2871,Bedgerabong,53927
4829,Bedourie,53927
3251,Beeac,53927
4385,Beebo,53927
3237,Beech Forest,53927
6063,Beechboro,53927
4680,Beecher,53927
7252,Beechford,53927
6556,Beechina,53927
4211,Beechmont,53927
2446,Beechwood,53927
3747,Beechworth,53927
2119,Beecroft,53927
2540,Beecroft Peninsula,53927
6260,Beedelup,53927
6224,Beela,53927
2680,Beelbangera,53927
4659,Beelbi Creek,53927
6239,Beelerup,53927
6164,Beeliar,53927
2824,Beemunnel,53927
4570,Beenaam Valley,53927
3139,Beenak,53927
4207,Beenleigh,35574
6353,Beenong,35574
4517,Beerburrum,35574
6503,Beermullah,35574
4626,Beeron,35574
4519,Beerwah,35574
822,Bees Creek,35574
5523,Beetaloo,35574
2550,Bega,35574
2587,Beggan Beggan,32700
4487,Begonia,32700
4454,Beilba,32700
6566,Bejoording,32700
5052,Belair,32700
5491,Belalie East,32700
5491,Belalie North,32700
2577,Belanglo,32700
2422,Belbora,32700
4723,Belcong,32700
2616,Belconnen,45700
2617,Belconnen,45700
2617,Belconnen Dc,45700
6027,Beldon,45959
2191,Belfield,45959
2335,Belford,45959
2650,Belfrayden,45959
4810,Belgian Gardens,45959
3160,Belgrave,45959
3160,Belgrave Heights,45959
3160,Belgrave South,45959
2800,Belgravia,45959
6069,Belhus,45959
2570,Belimbla Park,45959
4207,Belivah,45959
4408,Bell,45959
2786,Bell,45959
7253,Bell Bay,45959
3215,Bell Park,45959
3215,Bell Post Hill,45959
4570,Bella Creek,45959
2153,Bella Vista,45959
832,Bellamack,45959
2518,Bellambi,45959
2446,Bellangry,45959
4507,Bellara,45959
3223,Bellarine,45959
2397,Bellata,35500
2535,Bellawongarah,35500
2325,Bellbird,35500
3889,Bellbird Creek,35500
2325,Bellbird Heights,35500
4300,Bellbird Park,35500
4070,Bellbowrie,47760
3228,Bellbrae,47760
3691,Bellbridge,47760
2440,Bellbrook,47760
3381,Bellellen,47760
4871,Bellenden Ker,47760
7018,Bellerive,47760
4892,Bellevue,47760
6056,Bellevue,47760
5050,Bellevue Heights,47760
2023,Bellevue Hill,47760
3081,Bellfield,47760
4822,Bellfield,47760
3381,Bellfield,47760
4562,Belli Park,47760
2440,Bellimbopinni,47760
2454,Bellingen,47760
7254,Bellingham,29522
4510,Bellmere,29522
2581,Bellmount Forest,29522
3228,Bells Beach,29522
4570,Bells Bridge,29522
4551,Bells Creek,29522
4514,Bellthorpe,29522
2337,Belltrees,29522
6984,Belmont,29522
2280,Belmont,29522
3216,Belmont,29522
4153,Belmont,29522
6104,Belmont,29522
2280,Belmont North,40752
2280,Belmont South,40752
2192,Belmore,50872
2440,Belmore River,50872
4740,Belmunda,50872
2628,Beloka,50872
2545,Belowra,50872
2085,Belrose,50872
2085,Belrose West,50872
5730,Beltana,50872
5432,Belton,50872
4860,Belvedere,50872
5255,Belvidere,50872
822,Belyuen,50872
2550,Bemboka,27074
4850,Bemerside,27074
3889,Bemm River,27074
2790,Ben Bullen,27074
7212,Ben Lomond,27074
2365,Ben Lomond,27074
3946,Bena,27074
4610,Benair,27074
3671,Benalla,27074
3672,Benalla,27074
3900,Benambra,29733
2536,Benandarah,29733
4680,Benaraby,29733
4306,Benarkin,29733
4306,Benarkin North,29733
3319,Benayeo,29733
5453,Benbournie,29733
6477,Bencubbin,29733
3097,Bend Of Islands,29733
2539,Bendalong,29733
2355,Bendemeer,29733
2803,Bendick Murrell,29733
3552,Bendigo,29733
3550,Bendigo,29733
3554,Bendigo Dc,29733
3551,Bendigo Forward,29733
3550,Bendigo South,29733
3888,Bendoc,29733
2420,Bendolba,29733
2622,Bendoura,29733
2680,Benerembah,29733
2333,Bengalla,29733
6223,Benger,29733
3875,Bengworden,29733
4754,Benholme,29733
6463,Benjaberring,29733
3579,Benjeroop,29733
6255,Benjinup,29733
3435,Benloch,29733
6063,Bennett Springs,29733
2290,Bennetts Green,29733
3125,Bennettswood,29733
3960,Bennison,29733
4275,Benobble,29733
2818,Benolong,29733
4217,Benowa,29733
2251,Bensville,29733
3204,Bentleigh,29733
3165,Bentleigh East,29733
6102,Bentley,29733
6982,Bentley,29733
2480,Bentley,29733
