Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,
Television,CONIA,CE2201FHDVDR,China,147,5.103,5,54.8,Screen Technology,LCD (LED),Screen area,1312.1,Average mode power,39.1
Television,kinezo,KNZ19HDLED,China,129,4.783,4.5,46.99,Screen Technology,LCD (LED),Screen area,944.2,Average mode power,33.42
Television,Kogan,KGNFHD32HVAA,China,386,3.167,3,81.3,Screen Technology,LCD,Screen area,2730,Average mode power,104.56
Television,Kogan,KGN1080PPRO22VDA,China,179,4.418,4,55.9,Screen Technology,LCD,Screen area,1403,Average mode power,48.3
Television,Kogan,KGN1080PPRO22VCA,China,179,4.418,4,55.9,Screen Technology,LCD,Screen area,1403,Average mode power,48.3
Television,Kogan,KGN1080PPRO22VBA,China,179,4.418,4,55.9,Screen Technology,LCD,Screen area,1403,Average mode power,48.3
Television,Kogan,KGN1080PPRO22VAA,China,179,4.418,4,55.9,Screen Technology,LCD,Screen area,1403,Average mode power,48.3
Television,LG,47LE5310-TC,Indonesia,387,6.209,6,119.29,Screen Technology,LCD (LED),Screen area,6080.2,Average mode power,96.48
Television,Kogan,KGN1080P47VBA,China,811,2.914,2.5,119.4,Screen Technology,LCD,Screen area,6112,Average mode power,220.1
Television,Kogan,KGN1080P47VAA,China,811,2.914,2.5,119.4,Screen Technology,LCD,Screen area,6112,Average mode power,220.1
Television,Kogan,KGN1080P42VDA,China,621,3.246,3,106.7,Screen Technology,LCD,Screen area,4916.9,Average mode power,168.8
Television,Kogan,KGN1080P42VCA,China,621,3.246,3,106.7,Screen Technology,LCD,Screen area,4916.9,Average mode power,168.8
Television,Kogan,KGN1080P42VBA,China,621,3.246,3,106.7,Screen Technology,LCD,Screen area,4916.9,Average mode power,168.8
Television,Kogan,KGN1080P42VAA,China,621,3.246,3,106.7,Screen Technology,LCD,Screen area,4916.9,Average mode power,168.8
Television,THTF,LC-26A40,China,309,2.859,2.5,66.053,Screen Technology,LCD,Screen area,1863.8,Average mode power,83.5
Television,THTF,KGNPRO26VAA,China,309,2.859,2.5,66.053,Screen Technology,LCD,Screen area,1863.8,Average mode power,83.5
Television,Ekin,EK-LEH22A,China,74,8.109,8,55,Screen Technology,LCD (LED),Screen area,1281.3,Average mode power,19.43
Television,Schaub Lorenz,SL 55-5 LED-100,Turkey,414,7.141,7,139.7,Screen Technology,LCD (LED),Screen area,8230.1,Average mode power,112.8
Television,Metz,Axio pro 42 LED 200 CTS2 Z,Germany,295,6.539,6,107,Screen Technology,LCD (LED),Screen area,4863.9,Average mode power,79
Television,CHANGHONG,CHL1543AWH,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543AC,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543AB,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543AA,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543AF,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543AS,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,CHANGHONG,CHL1543A,China,107,4.79,4.5,39,Screen Technology,LCD,Screen area,665.85,Average mode power,27.9
Television,LG,26LD320H-TA,"""Korea, Republic of""",220,4.382,4,66.05,Screen Technology,LCD,Screen area,1863.9,Average mode power,55.8
Television,SHARP,LC-32L400X,Malaysia,333,3.84,3.5,80,Screen Technology,LCD,Screen area,2738.5,Average mode power,89.45
Television,DAEWOO,LV32L1B1LM,"""Korea, Republic of""",359,3.5,3.5,80.04,Screen Technology,LCD,Screen area,2736.7,Average mode power,96.32
Television,CHANGHONG,CHL3255BC,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3255BB,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3255BA,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3255B,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3243AC,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3243AB,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3243AA,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,CHANGHONG,CHL3243A,China,252,5.105,5,81,Screen Technology,LCD,Screen area,2751,Average mode power,67.9
Television,VOXSON,VLED19,China,97,6.061,6,47,Screen Technology,LCD (LED),Screen area,944.2,Average mode power,25.31
Television,AWA,MSDV1911-O3-D0P,China,120,5.107,5,47.01,Screen Technology,LCD,Screen area,944.2,Average mode power,29.75
Television,LG,32LV2530-TD,Indonesia,181,6.57,6,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,43.2
Television,LG,47LH50YD-AA,Indonesia,674,3.723,3.5,119,Screen Technology,LCD,Screen area,6080.26,Average mode power,167.4
Television,LG,37LD320H-TA,"""Korea, Republic of""",310,5.343,5,94.01,Screen Technology,LCD,Screen area,3776.6,Average mode power,82.1
Television,LG,55LW9500-TA,Indonesia,460,6.669,6,138.78,Screen Technology,LCD,Screen area,8230.1,Average mode power,114.12
Television,LG,50PT250-TA,"""Korea, Republic of""",513,5.45,5,126.95,Screen Technology,Plasma,Screen area,6888.4,Average mode power,133.9
Television,LG,22LV2530-TD,Indonesia,100,6.752,6,54.69,Screen Technology,LCD,Screen area,1277.8,Average mode power,23.82
Television,LG,42LD320H-TA,"""Korea, Republic of""",420,4.959,4.5,106.73,Screen Technology,LCD,Screen area,4867.7,Average mode power,106.1
Television,SHARP,LC--19LE520X-BK,Malaysia,83,6.759,6,47,Screen Technology,LCD,Screen area,944.2,Average mode power,21.4
Television,LG,42LH220H-TA,"""Korea, Republic of""",430,4.854,4.5,106.73,Screen Technology,LCD,Screen area,4867.7,Average mode power,116.16
Television,LG,32LD320H-TB,"""Korea, Republic of""",355,3.56,3.5,80.13,Screen Technology,LCD,Screen area,2744,Average mode power,88.15
Television,SHARP,LC-52LE830X,Malaysia,379,7.077,7,132,Screen Technology,LCD (LED),Screen area,7360,Average mode power,102.1
Television,LG,26LV2510-TB,Indonesia,138,6.474,6,66.06,Screen Technology,LCD,Screen area,1865,Average mode power,32.58
Television,CHANGHONG,LED1907BD,China,96,6.17,6,46,Screen Technology,LCD (LED),Screen area,967.2,Average mode power,24.8
Television,CHANGHONG,LED1907BC,China,96,6.17,6,46,Screen Technology,LCD (LED),Screen area,967.2,Average mode power,24.8
Television,CHANGHONG,LED1907BA,China,96,6.17,6,46,Screen Technology,LCD (LED),Screen area,967.2,Average mode power,24.8
Television,CHANGHONG,LED1907B,China,96,6.17,6,46,Screen Technology,LCD (LED),Screen area,967.2,Average mode power,24.8
Television,SHARP,LC-40LE820X,Malaysia,302,6.054,6,101.6,Screen Technology,LCD (LED),Screen area,4411.2,Average mode power,81.5
Television,LG,47LV3500-TA,Indonesia,335,6.856,6,119.29,Screen Technology,LCD,Screen area,6080.2,Average mode power,81.9
Television,SONIQ,L26V10A-AU,China,190,5.039,5,66.053,Screen Technology,LCD,Screen area,1863.8,Average mode power,50.49
Television,LG,42LV3730-TD,Indonesia,320,6.178,6,106.73,Screen Technology,LCD,Screen area,4867.7,Average mode power,81.42
Television,LG,32LE5310-TC,Indonesia,192,6.305,6,80.04,Screen Technology,LCD (LED),Screen area,2737.1,Average mode power,46.86
Television,LG,32LH20D-AA,Indonesia,313,4.115,4,81,Screen Technology,LCD,Screen area,2736.71,Average mode power,79.5
Television,LG,42LD560-TA,Indonesia,460,4.55,4.5,106.72,Screen Technology,LCD,Screen area,4865.5,Average mode power,120.1
Television,LG,55LE7500-TA,Indonesia,415,7.13,7,138.78,Screen Technology,LCD (LED),Screen area,8230.1,Average mode power,101.6
Television,LG,32LH200C-TA,Indonesia,390,3.13,3,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,97.48
Television,LG,22LU50FD-AC,Indonesia,159,4.674,4.5,56,Screen Technology,LCD,Screen area,1277.92,Average mode power,38.88
Television,VOXSON,VLCD23XPD,China,204,3.967,3.5,58.42,Screen Technology,LCD,Screen area,1467.23,Average mode power,54.6
Television,VOXSON,VLCD23PD,China,204,3.967,3.5,58.42,Screen Technology,LCD,Screen area,1467.23,Average mode power,54.6
Television,LG,26LD350-TA,Indonesia,220,4.382,4,66.04,Screen Technology,LCD,Screen area,1863.9,Average mode power,54.54
Television,LG,60PK950-AA,"""Korea, Republic of""",910,4.372,4,152.4,Screen Technology,Plasma,Screen area,9882.8,Average mode power,246.4
Television,LG,60PK750-AA,"""Korea, Republic of""",910,4.372,4,152.4,Screen Technology,Plasma,Screen area,9882.8,Average mode power,246.4
Television,LG,42PQ60D-AA,"""Korea, Republic of""",561,3.595,3.5,107,Screen Technology,Plasma,Screen area,4785.18,Average mode power,143.3
Television,LG,42PQ20D-AA,"""Korea, Republic of""",561,3.595,3.5,107,Screen Technology,Plasma,Screen area,4785.18,Average mode power,143.3
Television,LG,32LD462C-TA,"""Korea, Republic of""",310,4.167,4,80.13,Screen Technology,LCD,Screen area,2743.3,Average mode power,81.64
Television,LG,47LD462C-TA,"""Korea, Republic of""",550,4.634,4.5,119.29,Screen Technology,LCD,Screen area,6080.2,Average mode power,147.42
Television,LG,50PK950-AA,"""Korea, Republic of""",662,4.308,4,127,Screen Technology,Plasma,Screen area,6888.4,Average mode power,177.5
Television,LG,50PK750-AA,"""Korea, Republic of""",662,4.308,4,127,Screen Technology,Plasma,Screen area,6888.4,Average mode power,177.5
Television,LG,32LD350-TA,Indonesia,248,5.159,5,81.28,Screen Technology,LCD,Screen area,2737.1,Average mode power,61.62
Television,Kogan,KGN1080P42VBA,,689,2.741,2.5,106.731,Screen Technology,LCD,Screen area,4867.6,Average mode power,187.6
Television,Kogan,LC-42A40,,689,2.741,2.5,106.731,Screen Technology,LCD,Screen area,4867.6,Average mode power,187.6
Television,Kogan,LC-42A50,,689,2.741,2.5,106.731,Screen Technology,LCD,Screen area,4867.6,Average mode power,187.6
Television,Kogan,LC-42A58,,689,2.741,2.5,106.731,Screen Technology,LCD,Screen area,4867.6,Average mode power,187.6
Television,LG,37LE5510-TB,Indonesia,324,5.145,5,93.98,Screen Technology,LCD (LED),Screen area,3776.6,Average mode power,83.64
Television,LG,50PK550-AA,"""Korea, Republic of""",661,4.315,4,127,Screen Technology,Plasma,Screen area,6888.4,Average mode power,179.9
Television,VOXSON,VLCD26XTD,China,205,4.698,4.5,66.04,Screen Technology,LCD,Screen area,1863.8,Average mode power,55.17
Television,LG,50PZ950-TA,"""Korea, Republic of""",545,5.179,5,126.95,Screen Technology,Plasma,Screen area,6888.4,Average mode power,142.2
Television,VOXSON,VLCD32XTD,China,485,2.162,2,80,Screen Technology,LCD,Screen area,2744,Average mode power,130.8
Television,LG,26LK335H-TB,Indonesia,230,4.183,4,66.05,Screen Technology,LCD,Screen area,1863.9,Average mode power,57.23
Television,SHARP,LC-46LE820X,Malaysia,320,6.892,6,116,Screen Technology,LCD (LED),Screen area,5829.1,Average mode power,86.3
Television,LG,37LV3500-TA,Indonesia,246,6.379,6,94.01,Screen Technology,LCD,Screen area,3776.6,Average mode power,59.52
Television,SHARP,LC-60LE835X,Malaysia,368,8.452,8,152.496,Screen Technology,LCD (LED),Screen area,9936.4,Average mode power,99.6
Television,LG,26LU50FD-AC,Indonesia,296,3.056,3,66,Screen Technology,LCD,Screen area,1866.24,Average mode power,77.34
Television,LG,42PW450-TD,"""Korea, Republic of""",392,5.205,5,105.83,Screen Technology,Plasma,Screen area,4789.8,Average mode power,102.2
Television,LG,42PJ250-AA,"""Korea, Republic of""",480,4.298,4,105.83,Screen Technology,Plasma,Screen area,4789.8,Average mode power,124.7
Television,LG,37LK455C-TA,Indonesia,380,4.43,4,94.01,Screen Technology,LCD,Screen area,3776.6,Average mode power,94.78
Television,LG,47LX6500-TD,Indonesia,417,5.874,5.5,119.29,Screen Technology,LCD (LED),Screen area,6080.2,Average mode power,102
Television,LG,47LE8500-TA,Indonesia,363,6.496,6,119.29,Screen Technology,LCD (LED),Screen area,6080.2,Average mode power,90.48
Television,LG,42LH50YD-AA,Indonesia,568,3.605,3.5,107,Screen Technology,LCD,Screen area,4865.3,Average mode power,147.66
Television,LG,55LE8500-TA,Indonesia,407,7.849,7,148.62,Screen Technology,LCD (LED),Screen area,9580.7,Average mode power,103.02
Television,LG,55LE5310-TC,Indonesia,470,6.572,6,138.78,Screen Technology,LCD (LED),Screen area,8230.1,Average mode power,117.12
Television,LG,55LE5510-TB,Indonesia,413,7.152,7,138.78,Screen Technology,LCD (LED),Screen area,8230.1,Average mode power,102.7
Television,LG,42LE8500-TA,Indonesia,323,6.136,6,106.73,Screen Technology,LCD (LED),Screen area,4867.7,Average mode power,81.84
Television,LG,37LH50YD-AA,Indonesia,511,3.103,3,94,Screen Technology,LCD,Screen area,3776.35,Average mode power,131.6
Television,LG,32LH220H-TA,"""Korea, Republic of""",315,4.087,4,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,85.1
Television,Palsonic,TFTV602LED,China,134,5.975,5.5,60,Screen Technology,LCD (LED),Screen area,1528.5,Average mode power,35.7
Television,LG,42LE4500-TA,Indonesia,325,6.108,6,106.73,Screen Technology,LCD (LED),Screen area,4867.7,Average mode power,82.26
Television,LG,22LD320H-TA,"""Korea, Republic of""",140,5.252,5,54.77,Screen Technology,LCD,Screen area,1281.3,Average mode power,33.66
Television,SHARP,LC-40TH9X,"""Korea, Republic of""",439,4.422,4,102,Screen Technology,LCD,Screen area,4461.6,Average mode power,119.04
Television,SHARP,LC-26TB9X,"""Korea, Republic of""",232,4.168,4,66.2,Screen Technology,LCD,Screen area,1877.8,Average mode power,62.59
Television,SHARP,LC-22TB9X,"""Korea, Republic of""",110,6.61,6,55.9,Screen Technology,LCD,Screen area,1407.8,Average mode power,28.86
Television,VIVO,PDP42HD,China,693,2.827,2.5,108.2,Screen Technology,Plasma,Screen area,5008.5,Average mode power,189.2
Television,Kogan,KGNFHDLED22VDA,China,122,5.947,5.5,55.6,Screen Technology,LCD (LED),Screen area,1315.9,Average mode power,32.2
Television,Kogan,KGNFHDLED22VCA,China,122,5.947,5.5,55.6,Screen Technology,LCD (LED),Screen area,1315.9,Average mode power,32.2
Television,Kogan,KGNFHDLED22VBA,China,122,5.947,5.5,55.6,Screen Technology,LCD (LED),Screen area,1315.9,Average mode power,32.2
Television,LG,32LD352C-TA,"""Korea, Republic of""",270,4.778,4.5,80.13,Screen Technology,LCD,Screen area,2737.1,Average mode power,71.04
Television,LG,32LV2510-TB,Indonesia,181,6.57,6,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,43.2
Television,LG,50PV250-TB,"""Korea, Republic of""",556,5.09,5,126.95,Screen Technology,Plasma,Screen area,6888.4,Average mode power,144.9
Television,LG,60PV250-TB,"""Korea, Republic of""",752,5.227,5,152.07,Screen Technology,Plasma,Screen area,9882.8,Average mode power,195.8
Television,VUE,VUE22HD68,China,176,4.493,4,55.8,Screen Technology,LCD,Screen area,1402.8,Average mode power,46.77
Television,SHARP,LC-42D77X,Malaysia,570,3.591,3.5,106,Screen Technology,LCD,Screen area,4867.5,Average mode power,154.6
Television,Electroview,EV32,China,449,2.507,2.5,80,Screen Technology,LCD,Screen area,2743.6644,Average mode power,110.433
Television,TECOVISION,LL315TTHD10,China,358,3.512,3.5,80.1,Screen Technology,LCD,Screen area,2736.2,Average mode power,97.2
Television,TECOVISION,EA32P1PM** (*=0~9;A~Z),China,358,3.512,3.5,80.1,Screen Technology,LCD,Screen area,2736.2,Average mode power,97.2
Television,TECOVISION,EA32P1PM,China,358,3.512,3.5,80.1,Screen Technology,LCD,Screen area,2736.2,Average mode power,97.2
Television,LG,37LH220H-TA,"""Korea, Republic of""",415,4.035,4,94.01,Screen Technology,LCD,Screen area,3776.6,Average mode power,108.3
Television,LG,32LD320H-TA,"""Korea, Republic of""",250,5.123,5,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,65
Television,LG,52LD560-TA,Indonesia,578,5.244,5,132.17,Screen Technology,LCD,Screen area,7465,Average mode power,143.8
Television,LG,32LD560-TA,Indonesia,353,3.576,3.5,80.04,Screen Technology,LCD,Screen area,2737.1,Average mode power,91.92
Television,SHARP,LC-46TJ9X,"""Korea, Republic of""",525,4.691,4.5,117,Screen Technology,LCD,Screen area,5854.8,Average mode power,142.13
Television,LG,55LX9500-TA,Indonesia,507,6.233,6,138.78,Screen Technology,LCD (LED),Screen area,8230.1,Average mode power,126.3
Television,FIRETAIL,LE-1910,China,129,4.783,4.5,46.99,Screen Technology,LCD,Screen area,944.2,Average mode power,33.42
Television,LG,55LD650-TA,Indonesia,668,5.628,5.5,148.62,Screen Technology,LCD,Screen area,9580.7,Average mode power,170.8
Television,LG,47LE7500-TA,Indonesia,372,6.386,6,119.38,Screen Technology,LCD (LED),Screen area,6080.2,Average mode power,88.5
Television,LG,47LE5510-TB,Indonesia,367,6.447,6,119.38,Screen Technology,LCD (LED),Screen area,6080.2,Average mode power,87.36
Television,Metz,Axio pro 32 FHDTV 100 CT Z,Germany,450,2.496,2,80,Screen Technology,LCD,Screen area,2743.1,Average mode power,120
Television,LG,32LE7500-TA,Indonesia,282,4.592,4.5,81.28,Screen Technology,LCD (LED),Screen area,2744,Average mode power,74.34
Television,LG,47LD650-TA,Indonesia,553,4.609,4.5,119.38,Screen Technology,LCD,Screen area,6080.2,Average mode power,137.5
Television,LG,42LD460-TA,Indonesia,453,4.62,4.5,106.68,Screen Technology,LCD,Screen area,4867.7,Average mode power,116.9
Television,LG,32LE5510-TB,Indonesia,280,4.624,4.5,81.28,Screen Technology,LCD (LED),Screen area,2744,Average mode power,70.74
Television,VUE,VUE15HD68,China,71,6.694,6,39,Screen Technology,LCD,Screen area,686.2,Average mode power,0
Television,SHARP,LC-32M400X,Malaysia,294,4.396,4,81,Screen Technology,LCD,Screen area,2737.1,Average mode power,78.2
Television,LG,32LD460-TA,Indonesia,281,4.608,4.5,81.28,Screen Technology,LCD,Screen area,2744,Average mode power,71.7
Television,LG,22LD350-TA,Indonesia,130,5.584,5.5,55.88,Screen Technology,LCD,Screen area,1281.3,Average mode power,33.42
Television,LG,37LE7500-TA,Indonesia,326,5.117,5,93.98,Screen Technology,LCD (LED),Screen area,3776.6,Average mode power,84.18
Television,LG,42LD650-TA,Indonesia,453,4.62,4.5,106.68,Screen Technology,LCD,Screen area,4867.7,Average mode power,113.52
Television,LG,32LK455H-TA,"""Korea, Republic of""",290,4.466,4,80.13,Screen Technology,LCD,Screen area,2744,Average mode power,71.51
Television,VOXSON,VLCD32XTP,China,449,2.507,2.5,80,Screen Technology,LCD,Screen area,2744,Average mode power,110.433
Television,LG,55LV3730-TD,Indonesia,380,7.525,7,138.78,Screen Technology,LCD,Screen area,8230.1,Average mode power,90.36
Television,LG,55LW4500-TA,Indonesia,362,7.742,7,138.78,Screen Technology,LCD,Screen area,8230.1,Average mode power,79.08
Television,LUXAM,23EA1,China,111,6.844,6,60.08,Screen Technology,LCD (LED),Screen area,1540.6,Average mode power,29.1
Television,OiTV,47LC120,China,823,3.406,3,126.91,Screen Technology,LCD,Screen area,7014.4,Average mode power,224.36
Television,OiTV,55LC120,China,1284,2.7,2.5,148.62,Screen Technology,LCD,Screen area,9580.7,Average mode power,350.8
Television,SHARP,LC-40M500X,Malaysia,466,4.111,4,101,Screen Technology,LCD,Screen area,4412.1,Average mode power,126
Television,LG,22LD320H-TB,"""Korea, Republic of""",130,5.584,5.5,54.77,Screen Technology,LCD,Screen area,1281.3,Average mode power,32.05
Television,SHARP,LC-46LB700X,Malaysia,370,6.288,6,117,Screen Technology,LCD (LED),Screen area,5898.2,Average mode power,99.9
Television,SHARP,LC-52LE700X,Malaysia,363,7.315,7,132,Screen Technology,LCD (LED),Screen area,7439.7,Average mode power,98.3
Television,RANKARENA,LC-22G62U,China,193,3.806,3.5,54.61,Screen Technology,LCD,Screen area,1277.9,Average mode power,51.93
Television,LG,37LH220C-TA,"""Korea, Republic of""",370,4.55,4.5,93.98,Screen Technology,LCD,Screen area,3776.72,Average mode power,95.52
Television,LG,42LH220C-TA,"""Korea, Republic of""",470,4.455,4,106.68,Screen Technology,LCD,Screen area,4867.57,Average mode power,120.96
Television,LG,32LH220C-TA,"""Korea, Republic of""",290,4.457,4,81.28,Screen Technology,LCD,Screen area,2736.71,Average mode power,76.38
Television,TEAC,LCDV2657DVR,"China,Bosnia and Herzegovina",209,4.612,4.5,66.06,Screen Technology,LCD,Screen area,1863.9,Average mode power,55.92
Television,LG,26LV2530-TD,Indonesia,138,6.474,6,66.06,Screen Technology,LCD,Screen area,1865,Average mode power,32.58
Television,VOXSON,VPDP50-3D,China,923,2.813,2.5,126.89,Screen Technology,Plasma,Screen area,6879.7,Average mode power,252.3
Television,LG,37LH210C-TA,"""Korea, Republic of""",507,3.138,3,93.98,Screen Technology,LCD,Screen area,3776.72,Average mode power,131.76
Television,LG,37LH200C-TA,"""Korea, Republic of""",507,3.138,3,93.98,Screen Technology,LCD,Screen area,3776.72,Average mode power,131.76
Television,LG,32LH210C-TA,"""Korea, Republic of""",408,2.927,2.5,81.28,Screen Technology,LCD,Screen area,2736.71,Average mode power,103.86
Television,LG,32LH200C-TA,"""Korea, Republic of""",408,2.927,2.5,81.28,Screen Technology,LCD,Screen area,2736.71,Average mode power,103.86
Television,LG,26LH210C-TA,"""Korea, Republic of""",249,3.827,3.5,66.04,Screen Technology,LCD,Screen area,1863.83,Average mode power,61.98
Television,LG,26LH200C-TA,"""Korea, Republic of""",249,3.827,3.5,66.04,Screen Technology,LCD,Screen area,1863.83,Average mode power,61.98
Television,SHARP,LC-52D77X,Malaysia,771,3.994,3.5,133,Screen Technology,LCD,Screen area,7540,Average mode power,206.03
Television,SHARP,LC-46LE835X,Malaysia,301,7.167,7,116,Screen Technology,LCD (LED),Screen area,5830.7,Average mode power,81.49
Television,SHARP,LC-40LE835X,Malaysia,238,7.122,7,101,Screen Technology,LCD (LED),Screen area,4412.1,Average mode power,64.21
Television,SHARP,LC-32D77X,Malaysia,442,2.605,2.5,81,Screen Technology,LCD,Screen area,2765,Average mode power,112.53
Television,SHARP,LC-32D33X,Malaysia,337,3.826,3.5,80,Screen Technology,LCD,Screen area,2768.95,Average mode power,90.04
Television,LG,M2362DL,"""Korea, Republic of""",190,4.267,4,58.42,Screen Technology,LCD,Screen area,1458.38,Average mode power,47.41
Television,SHARP,LC-65RX1X,Malaysia,1278,3.485,3,164,Screen Technology,LCD,Screen area,11492,Average mode power,347.8
Television,SHARP,LC-40LB700X,Malaysia,285,6.267,6,101,Screen Technology,LCD (LED),Screen area,4358,Average mode power,76.7
Television,RANK ARENA,RALD48COMBOA,China,174,3.691,3.5,48,Screen Technology,LCD,Screen area,1038,Average mode power,46.13
Television,RANK ARENA,RALD56A,China,183,4.373,4,56,Screen Technology,LCD,Screen area,1428.62,Average mode power,48.6
Television,SHARP,LC-40LE700X,Malaysia,282,6.314,6,101,Screen Technology,LCD (LED),Screen area,4358,Average mode power,76
Television,LUXAM,32EA0,China,290,4.485,4,81.28,Screen Technology,LCD (LED),Screen area,2758,Average mode power,78.57
Television,VIVO,LCDTV15,China,71,6.651,6,39.6,Screen Technology,LCD,Screen area,672.8,Average mode power,18.2
Television,Kogan,KGN1080P32VDA,China,333,3.829,3.5,81,Screen Technology,LCD,Screen area,2730,Average mode power,90.26
Television,Kogan,KGN1080P32VCA,China,333,3.829,3.5,81,Screen Technology,LCD,Screen area,2730,Average mode power,90.26
Television,Kogan,KGN1080P32VBA,China,333,3.829,3.5,81,Screen Technology,LCD,Screen area,2730,Average mode power,90.26
Television,Kogan,KGN1080P32VAA,China,333,3.829,3.5,81,Screen Technology,LCD,Screen area,2730,Average mode power,90.26
Television,Kogan,KGN1080PBD32VDA,China,345,4.491,4,88,Screen Technology,LCD,Screen area,3420,Average mode power,93.2
Television,Kogan,KGN1080PBD32VCA,China,345,4.491,4,88,Screen Technology,LCD,Screen area,3420,Average mode power,93.2
Television,Kogan,KGN1080PBD32VBA,China,345,4.491,4,88,Screen Technology,LCD,Screen area,3420,Average mode power,93.2
Television,Kogan,KGN1080PBD32VAA,China,345,4.491,4,88,Screen Technology,LCD,Screen area,3420,Average mode power,93.2
Television,Kogan,KGNPRO19VDA,China,136,4.842,4.5,48.3,Screen Technology,LCD,Screen area,1056.3,Average mode power,36.7
Television,Kogan,KGNPRO19VCA,China,136,4.842,4.5,48.3,Screen Technology,LCD,Screen area,1056.3,Average mode power,36.7
Television,Kogan,KGNPRO19VBA,China,136,4.842,4.5,48.3,Screen Technology,LCD,Screen area,1056.3,Average mode power,36.7
Television,Kogan,KGNPRO19VAA,China,136,4.842,4.5,48.3,Screen Technology,LCD,Screen area,1056.3,Average mode power,36.7
Television,Kogan,KGNPRO26VDA,China,309,2.842,2.5,66,Screen Technology,LCD,Screen area,1854,Average mode power,83.5
